LOOK	L UH K
KNOCKIN'	N AA K AH N
NOBODY'S	N OW B AA D IY Z
NOBODY'S(2)	N OW B AH D IY Z
SLEEPWALKIN'	S L IY P W AA L K AH N
RELAYIN'	R AH L EY AH N
HEAD'S	HH EH D Z
SAYIN'	S EY IH N
MESSENGER	M EH S AH N JH ER
MESSENGER(2)	M EH S IH N JH ER
VISION	V IH ZH AH N
AMONGST	AH M AH NG S T
REGULAR	R EH G Y AH L ER
REGULAR(2)	R EY G Y AH L ER
CIVILIAN	S AH V IH L Y AH N
DRUMS	D R AH M Z
KILLED	K IH L D
COMIN'	K AH M IH N
STRAIGHT	S T R EY T
MC'S	M IH K S
BLOOD	B L AH D
SPILLED	S P IH L D
DAYS	D EY Z
DRE	D AH R
TRACK	T R AE K
KID	K IH D
PLAYED	P L EY D
PUMPED	P AH M P T
FEELIN'	F IY L IH N
KIDS	K IH D Z
FUCKIN'	F AH K AH N
CHILDREN	CH IH L D R AH N
MILLION	M IH L Y AH N
GOIN'	G OW AH N
STRUGGLE	S T R AH G AH L
RELATES	R IH L EY T S
RELATES(2)	R IY L EY T S
PAYBACK	P EY B AE K
RUSSELL	R AH S AH L
WILSON	W IH L S AH N
FALLIN'	F AE L IH N
DRAFT	D R AE F T
TURN	T ER N
NOTHIN'	N AH TH IH N
STRAW	S T R AO
GOLD	G OW L D
CHUMP	CH AH M P
SPIN	S P IH N
RUMPELSTILTSKIN	R AH M P AH L S T IH L T S AH N
HAYSTACK	HH EY S T AE K
JACKET	JH AE K AH T
JACKET(2)	JH AE K IH T
FACTS	F AE K T S
FACTS(2)	F AE K S
AM	AE M
AM(2)	EY EH M
NUTS	N AH T S
REAL	R IY L
LOVED	L AH V D
SOMEONE	S AH M W AH N
YOU'D	Y UW D
YOU'D(2)	Y UH D
ARM	AA R M
EXPRESSION	IH K S P R EH SH AH N
LITERALLY	L IH T ER AH L IY
LITERALLY(2)	L IH T R AH L IY
THEY'RE	DH EH R
WERE	W ER
THEIR	DH EH R
ARMOUR	AA R M ER
DESTROY	D IH S T R OY
ANYONE	EH N IY W AH N
HARM	HH AA R M
KARMA	K AA R M AH
TURNS	T ER N Z
BITES	B AY T S
SPITE	S P AY T
BECOME	B IH K AH M
MAIN	M EY N
SOURCE	S AO R S
DADDY	D AE D IY
DAD'S	D AE D Z
GOTTA	G AA T AH
CATCH	K AE CH
PLANE	P L EY N
WHERE'S	W EH R Z
WHERE'S(2)	HH W EH R Z
MOMMY	M AA M IY
FIND	F AY N D
HAILIE	HH EY L IY
DADDY'S	D AE D IY Z
WRITING	R AY T IH NG
SONG	S AO NG
WRITE	R AY T
ITSELF	IH T S EH L F
UNDERDOG	AH N D ER D AO G
SWING	S W IH NG
MOTHER	M AH DH ER
SPITTING	S P IH T IH NG
IMAGE	IH M AH JH
IMAGE(2)	IH M IH JH
SLIM	S L IH M
SHADY	SH EY D IY
SHADY'S	SH EY D IY Z
TONIGHT	T AH N AY T
TONIGHT(2)	T UW N AY T
ROCKA-BY-BABY	R AA K AH B AY B EY B IY
GONE	G AO N
CARRY	K AE R IY
CARRY(2)	K EH R IY
MOURN	M AO R N
REJOICE	R IH JH OY S
SMILING	S M AY L IH NG
SMILE	S M AY L
HAVING	HH AE V IH NG
DREAM	D R IY M
PUSHIN'	P AH SH AH N
SCREAMING	S K R IY M IH NG
SING	S IH NG
MAKING	M EY K IH NG
CRYING	K R AY IH NG
LYING	L AY IH NG
PILING	P AY L IH NG
BOXES	B AA K S AH Z
BOXES(2)	B AA K S IH Z
FRONT	F R AH N T
BLOCK	B L AA K
-	
POCKET	P AA K AH T
PULLS	P UH L Z
TINY	T AY N IY
NECKLACE	N EH K L AH S
LOCKET	L AA K IH T
PICTURE	P IH K CH ER
THIS'LL	DH IH S AH L
SAFE	S EY F
WITHCHA'	W IH TH AH
MIRROR	M IH R ER
WALLS	W AO L Z
TALKING	T AO K IH NG
SAYING	S EY IH NG
BEDROOM	B EH D R UW M
SPOTLIGHT	S P AA T L AY T
SINGING	S IH NG IH NG
SIXTY	S IH K S T IY
PEOPLE	P IY P AH L
SEAT	S IY T
CURTAIN	K ER T AH N
CLOSES	K L OW Z IH Z
THROWING	TH R OW IH NG
ROSES	R OW Z IH Z
BOW	B AW
BOW(2)	B OW
THANK	TH AE NG K
COMING	K AH M IH NG
GLANCE	G L AE N S
SEEING	S IY IH NG
HELP	HH EH L P
WRISTS	R IH S T S
BLEEDING	B L IY D IH NG
SWEDEN	S W IY D AH N
FOLLOWED	F AA L OW D
WEREN'T	W ER AH N T
WEREN'T(2)	W ER N T
DAD	D AE D
SAD	S AE D
BOUGHT	B AA T
BOUGHT(2)	B AO T
COIN	K OY N
SAYS	S EH Z
SAYS(2)	S IH Z
'NUMBER	N AH M AH R
DAD'	D AE D
FINE	F AY N
CHOICE	CH OY S
MARSHALL	M AA R SH AH L
SCREAMIN'	S K R IY M AH N
PILL	P IH L
BET	B EH T
WORD	W ER D
K-KEEP	K EY K IY P
APPLAUSE	AH P L AO Z
CLOSING	K L OW Z IH NG
COCK	K AA K
BRAIN	B R EY N
SCREAM	S K R IY M
POP	P AA P
DARKENS	D AA R K AH N Z
FLASHES	F L AE SH IH Z
SUPPOSED	S AH P OW Z D
CRASHES	K R AE SH IH Z
BURNS	B ER N Z
ASHES	AE SH IH Z
WAKE	W EY K
ALARM	AH L AA R M
RINGIN'	R IH N JH AH N
BIRDS	B ER D Z
SINGIN'	S IH NG IH N
SPRING	S P R IH NG
SPRING(2)	S P ER IH NG
HAILIE'S	HH EY L IY Z
OUTSIDE	AW T S AY D
SWINGING	S W IH NG IH NG
KIM	K IH M
KISS	K IH S
SMILES	S M AY L Z
WINKS	W IH NG K S
SISTER	S IH S T ER
ALMOST	AO L M OW S T
FELL	F EH L
ROSE	R OW Z
CLAIM	K L EY M
DARK	D AA R K
KISSED	K IH S T
LIPS	L IH P S
SAVED	S EY V D
FALLING	F AA L IH NG
SIDE	S AY D
KNEW	N UW
KNEW(2)	N Y UW
TRUE	T R UW
WIN	W IH N
RAIN	R EY N
WATCHED	W AA CH T
WATCHED(2)	W AO CH T
TOUCHED	T AH CH T
BURNED	B ER N D
CRIED	K R AY D
HEARD	HH ER D
EYES	AY Z
FOREVER	F ER EH V ER
THREW	TH R UW
FLAMES	F L EY M Z
WAITING	W EY T IH NG
OOOOOOH	UW UW UW
NOO	N UW
SETTLED	S EH T AH L D
FOUND	F AW N D
GIRL	G ER L
DREAMS	D R IY M Z
CAME	K EY M
FRIEND	F R EH N D
SHY	SH AY
HIDE	HH AY D
LIGHT	L AY T
BLUE	B L UW
UNINVITED	AH N IH N V AY T IH D
HOPED	HH OW P T
REMINDED	R IY M AY N D AH D
REMINDED(2)	R IY M AY N D IH D
WISH	W IH SH
BEG	B EH G
REMEMBER	R IH M EH M B ER
REMEMBER(2)	R IY M EH M B ER
LASTS	L AE S T S
FLIES	F L AY Z
LIVES	L IH V Z
LIVES(2)	L AY V Z
BORN	B AO R N
RAISED	R EY Z D
SUMMER	S AH M ER
HAZE	HH EY Z
BOUND	B AW N D
SURPRISE	S ER P R AY Z
SURPRISE(2)	S AH P R AY Z
GLORY	G L AO R IY
COMPARES	K AH M P EH R Z
WORRIES	W ER IY Z
CARES	K EH R Z
REGRETS	R IH G R EH T S
MISTAKES	M IH S T EY K S
MEMORIES	M EH M ER IY Z
KNOWN	N OW N
TASTE	T EY S T
REACHING	R IY CH IH NG
FEVER	F IY V ER
PITCH	P IH CH
BRINGING	B R IH NG IH NG
FINALLY	F AY N AH L IY
CRYSTAL	K R IH S T AH L
AHEAD	AH HH EH D
SELL	S EH L
SHIP	SH IH P
BARE	B EH R
PIECE	P IY S
UNDERESTIMATE	AH N D ER EH S T AH M EY T
UNDERESTIMATE(2)	AH N D ER EH S T AH M AH T
SCARS	S K AA R Z
REMIND	R IY M AY N D
THINKING	TH IH NG K IH NG
BREATHLESS	B R EH TH L AH S
MET	M EH T
ROLLING	R OW L IH NG
DEEP	D IY P
STORY	S T AO R IY
DEPTHS	D EH P TH S
DESPAIR	D IH S P EH R
SURE	SH UH R
SHARED	SH EH R D
BEATING	B IY T IH NG
SOUL	S OW L
COUNT	K AW N T
BLESSINGS	B L EH S IH NG Z
SORROW	S AA R OW
TREASURED	T R EH ZH ER D
PAY	P EY
REAP	R IY P
SOW	S AW
SOW(2)	S OW
TWICE	T W AY S
DUG	D AH G
DECISIONS	D IH S IH ZH AH N Z
WELCOME	W EH L K AH M
SILLY	S IH L IY
MISPLACED	M IH S P L EY S T
MISUNDERSTOOD	M IH S AH N D ER S T UH D
'NO	N OW
GOOD'	G UH D
GOOD'(2)	G IH D
SLOW	S L OW
MISTAKEN	M IH S T EY K AH N
SECOND	S EH K AH N D
GUESSING	G EH S IH NG
UNDERESTIMATED	AH N D ER EH S T AH M EY T IH D
PRETTY	P R IH T IY
LESS	L EH S
PERFECT	P ER F EH K T
PERFECT(2)	P ER F IH K T
COMPLICATED	K AA M P L AH K EY T AH D
HAPPY	HH AE P IY
FILLED	F IH L D
HATRED	HH EY T R AH D
SUCH	S AH CH
DONE	D AH N
CHASED	CH EY S T
SEEN	S IY N
WORLD'S	W ER L D Z
SCARED	S K EH R D
SWALLOW	S W AA L OW
SWALLOW(2)	S W AO L OW
FEAR	F IH R
SHOULD	SH UH D
DRINKING	D R IH NG K IH NG
ICE	AY S
BEER	B IH R
COOL	K UW L
WASTE	W EY S T
CRITICS	K R IH T IH K S
EVERYWHERE	EH V R IY W EH R
EVERYWHERE(2)	EH V R IY HH W EH R
JEANS	JH IY N Z
EXCHANGE	IH K S CH EY N JH
OURSELVES	AW ER S EH L V Z
OURSELVES(2)	AA R S EH L V Z
MISTY	M IH S T IY
MOUNTAIN	M AW N T AH N
BELOW	B IH L OW
BELOW(2)	B IY L OW
CAREFUL	K EH R F AH L
BROTHERS'	B R AH DH ER Z
SOULS	S OW L Z
SMOKE	S M OW K
WATCHING	W AA CH IH NG
DURIN'S	D Y UH R AH N Z
SONS	S AH N Z
CLIMB	K L AY M
CALLING	K AO L IH NG
AUBURN	AA B ER N
GLASS	G L AE S
WINE	W AY N
PREPARE	P R IY P EH R
MOUNTAINSIDE	M AW N T AH N S AY D
DESOLATION	D EH S AH L EY SH AH N
UPON	AH P AA N
BURNING	B ER N IH NG
TREES	T R IY Z
HOLLOWING	HH AA L OW IH NG
BREEZE	B R IY Z
SURELY	SH UH R L IY
CONFINED	K AH N F AY N D
HALLS	HH AO L Z
FLAME	F L EY M
FAST	F AE S T
RETURNS	R IH T ER N Z
RETURNS(2)	R IY T ER N Z
BROTHERS	B R AH DH ER Z
CRASHED	K R AE SH T
TOWN	T AW N
SHADOW	SH AE D OW
SAW	S AO
CITY	S IH T IY
HEAT	HH IY T
SKIN	S K IH N
YEARS	Y IH R Z
AGO	AH G OW
CAUTION	K AA SH AH N
CAUTION(2)	K AO SH AH N
ILLUSION	IH L UW ZH AH N
CARELESS	K EH R L EH S
FORGOT	F ER G AA T
FORGOT(2)	F AO R G AA T
EFFORTLESSLY	EH F ER T L AH S L IY
WON	W AH N
WON(2)	W AA N
SHOUT	SH AW T
TOPS	T AA P S
LINE	L AY N
BETRAYAL	B IH T R EY AH L
WORST	W ER S T
HEARTS	HH AA R T S
BUILDING	B IH L D IH NG
FAITH	F EY TH
EMPTY	EH M P T IY
EMPTY(2)	EH M T IY
PROMISES	P R AA M AH S AH Z
WEAR	W EH R
EMBARRASSING	IH M B EH R AH S IH NG
CYCLE	S AY K AH L
REPEATED	R IH P IY T IH D
REPEATED(2)	R IY P IY T AH D
REPEATED(3)	R IY P IY T IH D
EXPLOSIONS	IH K S P L OW ZH AH N Z
NEEDED	N IY D AH D
NEEDED(2)	N IY D IH D
COLORS	K AH L ER Z
CONFLICTED	K AH N F L IH K T IH D
CLIMBED	K L AY M D
CLOUDS	K L AW D Z
FIX	F IH K S
GLOW	G L OW
YES	Y EH S
HELD	HH EH L D
BELIEVED	B IH L IY V D
SOLDIER	S OW L JH ER
STRUCK	S T R AH K
RING	R IH NG
CROWN	K R AW N
BUILT	B IH L T
FAN	F AE N
BLAZES	B L EY Z IH Z
TROUBLE	T R AH B AH L
WIDE	W AY D
TOSSED	T AO S T
TRASH	T R AE SH
ASKED	AE S K T
ASKED(2)	AE S T
UNDERSTAND	AH N D ER S T AE N D
GRENADE	G R AH N EY D
BLADE	B L EY D
JUMP	JH AH M P
TRAIN	T R EY N
BULLET	B UH L AH T
TILL	T IH L
NUMB	N AH M
DEVIL	D EH V AH L
'HEY'	HH EY
WOMAN	W UH M AH N
RIP	R IH P
BRAKES	B R EY K S
CAR	K AA R
DARLING	D AA R L IH NG
WOULDN'T	W UH D AH N T
TRUSTING	T R AH S T IH NG
ELSE	EH L S
MATTERS	M AE T ER Z
OPENED	OW P AH N D
OURS	AW ER Z
OURS(2)	AA R Z
OURS(3)	AW R Z
SEEK	S IY K
VIEW	V Y UW
CARED	K EH R D
SOLO	S OW L OW
HETFIELD	HH EH T IY L D
FELT	F EH L T
COMPANY	K AH M P AH N IY
ACHE	EY K
ADDICTED	AH D IH K T IH D
CERTAIN	S ER T AH N
SADNESS	S AE D N AH S
RESIGNATION	R EH Z AH G N EY SH AH N
RESIGNATION(2)	R EH Z IH G N EY SH AH N
SENSE	S EH N S
ADMIT	AH D M IH T
GLAD	G L AE D
HAPPENED	HH AE P AH N D
STRANGER	S T R EY N JH ER
ROUGH	R AH F
COLLECT	K AH L EH K T
NUMBER	N AH M B ER
SCREWED	S K R UW D
BELIEVING	B IH L IY V IH NG
READING	R IY D IH NG
READING(2)	R EH D IH NG
HUNG	HH AH NG
WOAH	W OW AH
JUDA-AS	JH UW D AH AE Z
JUDAS	JH UW D AH S
JUDA-A-A	JH UW D AH EY EY
GA-GA	G AA G AA
CALLS	K AO L Z
ILL	IH L
WASH	W AA SH
NEEDS	N IY D Z
FORGIVE	F ER G IH V
FORGIVE(2)	F AO R G IH V
TONGUE	T AH NG
THREE	TH R IY
BETRAYS	B IH T R EY Z
AH-AH-AHHH-OW	AA AA AE HH OW
UH	AH
O	OW
BRING	B R IH NG
HOLY	HH OW L IY
FOOL	F UW L
HES	HH IY Z
CRUEL	K R UW AH L
CRUEL(2)	K R UW L
COULDNT	K OW AH L D N T
PURELY	P Y UH R L IY
PROPHETS	P R AA F AH T S
FORGAVE	F ER G EY V
GOOFY	G UW F IY
IVE	AY V
LEARNED	L ER N D
LEARNED(2)	L ER N IH D
BRICK	B R IH K
BUILD	B IH L D
SINK	S IH NG K
EW	Y UW
MOST	M OW S T
MOST(2)	M OW S
BIBLICAL	B IH B L AH K AH L
BIBLICAL(2)	B IH B L IH K AH L
BEYOND	B IH AA N D
BEYOND(2)	B IY AO N D
BEYOND(3)	B IH AO N D
REPENTANCE	R IH P EH N T AH N S
HOOKER	HH UH K ER
PROSTITUTE	P R AA S T AH T UW T
WENCH	W EH N CH
VOMITS	V AA M AH T S
CULTURAL	K AH L CH ER AH L
SPEAK	S P IY K
FUTURE	F Y UW CH ER
TENSE	T EH N S
OFFENSED	AH F EH N S T
EAR	IY R
EAR(2)	IH R
CONDOM	K AA N D AH M
SOMETHINGS	S AH M TH IH NG Z
PULLING	P UH L IH NG
JESUS	JH IY Z AH S
VIRTUE	V ER CH UW
DEMON	D IY M AH N
CLING	K L IH NG
